time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-30T11:09:38.749Z,-3.8582,151.5681,10,5,mb,,87,0.68,0.85,us,us6000g7vi,2021-11-30T11:47:39.040Z,"76 km WNW of Rabaul, Papua New Guinea",earthquake,7.1,1.9,0.083,46,reviewed,us,us
2021-11-30T10:52:17.579Z,-3.5956,150.8695,10,5,mb,,88,1.42,0.5,us,us6000g7vp,2021-11-30T12:04:12.040Z,"113 km S of Kavieng, Papua New Guinea",earthquake,3.9,1.9,0.093,37,reviewed,us,us
2021-11-30T10:36:18.247Z,-3.5165,151.1803,10,6.3,mww,,34,1.188,0.56,us,us6000g7v8,2021-12-01T10:41:33.449Z,"112 km SSE of Kavieng, Papua New Guinea",earthquake,6.3,1.8,0.05,38,reviewed,us,us
2021-11-30T10:32:24.224Z,37.6103,25.865,10,4.2,mb,,75,1.672,0.79,us,us6000g7uy,2021-11-30T13:13:01.040Z,"37 km W of Agios Kirykos, Greece",earthquake,5.8,1.9,0.11,23,reviewed,us,us
2021-11-30T10:11:11.900Z,36.0453333,-117.8713333,3.49,2.78,ml,36,34,0.04057,0.12,ci,ci39874375,2021-11-30T21:18:52.790Z,"7km E of Coso Junction, CA",earthquake,0.14,0.33,0.205,25,reviewed,ci,ci
2021-11-30T09:13:00.330Z,36.46333333,-98.78216667,6,2.53,ml,98,37,0,0.21,ok,ok2021xlct,2021-11-30T14:13:18.107Z,"15 km SSE of Waynoka, Oklahoma",earthquake,,0.3,0.22,40,reviewed,ok,ok
2021-11-30T07:32:21.412Z,41.8709,-125.8376,10,2.7,ml,,252,1.465,0.85,us,us6000g7u4,2021-12-01T07:11:32.040Z,"127 km WSW of Pistol River, Oregon",earthquake,6.2,2,0.045,66,reviewed,us,us
2021-11-30T07:28:35.240Z,17.9773,-67.0098,10,2.57,md,12,156,0.0353,0.09,pr,pr2021334002,2021-11-30T07:44:22.646Z,"3 km E of La Parguera, Puerto Rico",earthquake,0.44,0.57,0.05,6,reviewed,pr,pr
2021-11-30T07:10:44.696Z,31.2164,142.4068,10,4.6,mb,,96,2.901,0.73,us,us6000g7u2,2021-12-01T06:40:02.040Z,"Izu Islands, Japan region",earthquake,10.1,1.8,0.078,49,reviewed,us,us
2021-11-30T06:53:32.685Z,31.2289,142.4773,7.86,5.5,mww,,54,2.939,0.66,us,us6000g7tw,2021-12-01T06:59:04.366Z,"Izu Islands, Japan region",earthquake,8.4,4.1,0.078,16,reviewed,us,us
2021-11-30T06:34:23.984Z,31.2043,142.4743,17.09,4.5,mb,,136,2.953,0.62,us,us6000g7tx,2021-11-30T07:41:16.040Z,"Izu Islands, Japan region",earthquake,11.9,5.5,0.089,37,reviewed,us,us
