time,latitude,longitude,depth,mag,magType,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-30 19:04:25.810000+00:00,17.9516,-66.9306,5.0,2.55,md,211.0,0.0565,0.11,pr,pr2021334006,2021-11-30 19:43:43.564000+00:00,"3 km SW of Guánica, Puerto Rico",earthquake,0.51,0.38,0.28,5.0,reviewed,pr,pr
2021-11-30 18:36:03.380000+00:00,18.93216667,-155.3385,44.27,2.89,md,242.0,,0.13,hv,hv72817797,2021-11-30 22:52:17.550000+00:00,"Hawaii region, Hawaii",earthquake,0.58,0.82,0.08432851,19.0,reviewed,hv,hv
2021-11-30 18:27:38.502000+00:00,31.1598,142.2631,10.0,5.0,mb,29.0,2.8489999999999998,0.83,us,us6000g7z5,2021-11-30 18:50:01.040000+00:00,"Izu Islands, Japan region",earthquake,7.6,1.7,0.040999999999999995,203.0,reviewed,us,us
2021-11-30 18:02:56.173000+00:00,36.472,70.7294,197.08,4.2,mb,73.0,0.6629999999999999,1.2,us,us6000g7yx,2021-11-30 18:57:49.040000+00:00,"44 km SSW of Jurm, Afghanistan",earthquake,4.9,5.1,0.1,31.0,reviewed,us,us
2021-11-30 17:52:19.760000+00:00,17.9951,-66.7335,11.0,3.29,md,144.0,0.1359,0.21,pr,pr2021334005,2021-12-01 03:44:51.752000+00:00,"1 km W of Tallaboa, Puerto Rico",earthquake,0.38,0.29,0.18,18.0,reviewed,pr,pr
2021-11-30 17:35:38.014000+00:00,13.7164,120.8572,137.92,4.6,mb,55.0,9.054,0.89,us,us6000g7xq,2021-11-30 23:18:23.004000+00:00,"3 km WNW of Bagalangit, Philippines",earthquake,10.2,6.7,0.059000000000000004,93.0,reviewed,us,us
2021-11-30 17:30:59.844000+00:00,62.4626,-148.877,35.0,3.3,ml,,,0.61,ak,ak021fcnsuak,2021-11-30 20:13:54.040000+00:00,"60 km ENE of Susitna North, Alaska",earthquake,,5.9,,,automatic,ak,ak
2021-11-30 17:08:03.465000+00:00,61.5148,-140.7256,3.29,2.5,ml,61.0,0.642,0.5,us,us6000g7xb,2021-11-30 19:28:07.040000+00:00,"117 km E of McCarthy, Alaska",earthquake,2.1,8.1,0.036000000000000004,102.0,reviewed,us,us
2021-11-30 16:50:02.950000+00:00,18.88583333,-155.22033330000002,6.17,2.77,ml,257.0,,0.16,hv,hv72817682,2021-11-30 22:03:07.040000+00:00,"42 km ESE of Naalehu, Hawaii",earthquake,0.4,0.44,0.20107833600000002,16.0,reviewed,hv,hv
2021-11-30 16:07:02.280000+00:00,37.1636658,-121.5575027,1.36,2.74,md,37.0,0.05508,0.1,nc,nc73660155,2021-12-01 16:01:51.260000+00:00,"9km ENE of Morgan Hill, CA",earthquake,0.19,0.69,0.12,70.0,automatic,nc,nc
2021-11-30 16:02:53.956000+00:00,36.2001,140.2328,71.56,4.9,mb,190.0,1.6680000000000001,0.49,us,us6000g7x3,2021-11-30 17:08:17.040000+00:00,"3 km WNW of Ishioka, Japan",earthquake,10.7,9.8,0.14,19.0,reviewed,us,us
2021-11-30 16:00:45.340000+00:00,17.9618,-67.01100000000001,10.0,3.02,md,185.0,0.0341,0.18,pr,pr2021334004,2021-11-30 16:55:33.040000+00:00,"4 km ESE of La Parguera, Puerto Rico",earthquake,0.51,0.38,0.15,15.0,reviewed,pr,pr
2021-11-30 15:55:36.507000+00:00,35.1816,141.5267,10.0,4.6,mb,138.0,2.503,0.57,us,us6000g7x1,2021-11-30 16:41:22.040000+00:00,"87 km SE of Hasaki, Japan",earthquake,7.8,1.9,0.126,23.0,reviewed,us,us
2021-11-30 15:41:11.295000+00:00,31.1773,142.2848,10.0,4.7,mb,92.0,2.85,0.36,us,us6000g7ww,2021-11-30 16:26:57.040000+00:00,"Izu Islands, Japan region",earthquake,9.6,1.9,0.063,80.0,reviewed,us,us
2021-11-30 15:03:31.570000+00:00,18.834,-155.19766669999998,9.73,3.49,ml,266.0,,0.17,hv,hv72817622,2021-12-01 15:04:59.166000+00:00,"47 km ESE of Naalehu, Hawaii",earthquake,0.64,0.69,0.156109129,37.0,reviewed,hv,hv
2021-11-30 14:20:22.130000+00:00,38.3737,22.2132,10.0,4.6,mb,80.0,0.653,0.67,us,us6000g7wf,2021-11-30 19:47:47.040000+00:00,"14 km W of Galaxídhion, Greece",earthquake,4.8,1.9,0.114,26.0,reviewed,us,us
2021-11-30 13:53:41.677000+00:00,31.7789,87.9411,10.0,5.4,mb,35.0,3.931,0.83,us,us6000g7wd,2021-12-01 13:56:52.324000+00:00,"294 km NNW of Rikaze, China",earthquake,8.2,1.8,0.043,192.0,reviewed,us,us
2021-11-30 13:46:52.279000+00:00,-3.5389999999999997,151.1354,10.0,4.9,mb,38.0,1.213,0.31,us,us6000g7wc,2021-11-30 14:36:55.040000+00:00,"113 km SSE of Kavieng, Papua New Guinea",earthquake,5.4,1.9,0.11900000000000001,25.0,reviewed,us,us
2021-11-30 12:41:09.472000+00:00,58.8359,-152.8756,48.8,3.3,ml,,,0.52,ak,ak021fckvx9v,2021-11-30 15:17:10.040000+00:00,"79 km SW of Nanwalek, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-11-30 12:16:32.908000+00:00,-11.2962,118.1941,10.0,4.2,mb,91.0,4.78,0.52,us,us6000g7w3,2021-11-30 12:57:26.040000+00:00,"290 km SW of Waingapu, Indonesia",earthquake,9.0,2.0,0.23600000000000002,5.0,reviewed,us,us
2021-11-30 12:14:34.418000+00:00,-3.5445,151.3439,10.0,5.8,mww,60.0,1.04,0.89,us,us6000g7w4,2021-12-01 12:17:55.107000+00:00,"116 km NW of Rabaul, Papua New Guinea",earthquake,7.1,1.8,0.075,17.0,reviewed,us,us
2021-11-30 11:37:13.280000+00:00,17.9795,-67.00399999999999,10.0,2.7,md,155.0,0.0415,0.15,pr,pr2021334003,2021-11-30 11:52:24.629000+00:00,"4 km E of La Parguera, Puerto Rico",earthquake,0.45,0.59,0.16,10.0,reviewed,pr,pr
